ImagePath,Layer_1_True,Layer_1_ans,Layer_2_True,Layer_2_ans,Layer_3_True,Layer_3_ans,sub_class,subtwo_class,super_class
AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-5.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'OP', 'UP', 'INT']","['AS-RESIDUE-E', 'POLYMER', 'M1-ABNORMAL', 'CF DEFECT', 'CF PS DEFORMATION']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_B5CG7HE-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'PV-HOLE-T', 'CF PS DEFORMATION', 'GLASS CULLET', 'FIBER']","['CF', 'TFT']"
PV-HOLE-T@NP@TFT@Array_B5931DR-1-3.jpg,TFT,TFT,NP,UP,PV-HOLE-T,POLYMER,"['UP', 'NP', 'INT', 'OP']","['POLYMER', 'PV-HOLE-T', 'CF DEFECT', 'PI SPOT-WITH PAR', 'AS-RESIDUE-E']","['TFT', 'CF']"
ITO-RESIDUE-T@NP@TFT@Array_B51D8NM-1-3.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'INT', 'OP', 'UP']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'PV-HOLE-T']","['TFT', 'CF']"
FIBER@UP@TFT@Cell_B21Z2UG-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'POLYMER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'GLASS BROKEN']","['TFT', 'CF']"
CF PS DEFORMATION@NP@CF@CF_B4VV1XD-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'INT', 'UP']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'ITO-RESIDUE-T', 'ESD', 'FIBER']","['CF', 'TFT']"
FIBER@UP@TFT@Cell_BCZP9ZM-2-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'M1-ABNORMAL', 'POLYMER']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_B52E23E-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'INT', 'NP', 'OP']","['PI SPOT-WITH PAR', 'M1-ABNORMAL', 'LIGHT METAL', 'POLYMER', 'GLASS BROKEN']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@TFT@Cell_H5E52AH-1-3.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'NP', 'OP', 'INT']","['PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'AS-RESIDUE-E']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_B4VL8ED-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'NP', 'INT', 'UP']","['POLYMER', 'CF DEFECT', 'FIBER', 'ITO-RESIDUE-T', 'CF PS DEFORMATION']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_B5867PQ-1-2.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'UP', 'INT', 'OP']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'FIBER']","['TFT', 'CF']"
FIBER@OP@CF@Cell_B57D92B-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'NP', 'UP']","['FIBER', 'POLYMER', 'CF DEFECT', 'ESD', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'UP', 'OP']","['GLASS BROKEN', 'FIBER', 'PV-HOLE-T', 'M1-ABNORMAL', 'ITO-RESIDUE-T']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_B60K3SK-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_B5BL4HF-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'CF PS DEFORMATION', 'FIBER', 'GLASS BROKEN', 'ITO-RESIDUE-T']","['TFT', 'CF']"
POLYMER@UP@TFT@Cell_B5D73XS-1-3.jpg,TFT,TFT,UP,UP,POLYMER,PI SPOT-WITH PAR,"['UP', 'NP', 'OP', 'INT']","['PI SPOT-WITH PAR', 'POLYMER', 'PV-HOLE-T', 'CF DEFECT', 'CF PS DEFORMATION']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_B57S1MF-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'NP', 'INT', 'UP']","['POLYMER', 'CF DEFECT', 'FIBER', 'LIGHT METAL', 'CF REPAIR FAIL']","['CF', 'TFT']"
FIBER@UP@TFT@Cell_B95E3EM-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'LIGHT METAL']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@TFT@Cell_B58Q52T-1-3.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'NP', 'INT', 'OP']","['PI SPOT-WITH PAR', 'AS-RESIDUE-E', 'CF DEFECT', 'ITO-RESIDUE-T', 'ESD']","['TFT', 'CF']"
POLYMER@OP@TFT@Cell_B57S1HN-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'NP', 'UP', 'INT']","['POLYMER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'CF DEFECT', 'CF PS DEFORMATION']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_B4U62GC-1-3.jpg,TFT,TFT,NP,UP,PV-HOLE-T,POLYMER,"['UP', 'OP', 'NP', 'INT']","['POLYMER', 'PI SPOT-WITH PAR', 'FIBER', 'PV-HOLE-T', 'ITO-RESIDUE-T']","['TFT', 'CF']"
ESD@INT@TFT@Cell_B32S1BD-1-1.jpg,TFT,TFT,INT,INT,ESD,ESD,"['INT', 'UP', 'NP', 'OP']","['ESD', 'PV-HOLE-T', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'POLYMER']","['TFT', 'CF']"
GLASS CULLET@OP@CF@Cell_B5AS4CB-1-3.jpg,CF,CF,OP,OP,GLASS CULLET,GLASS CULLET,"['OP', 'NP', 'UP', 'INT']","['GLASS CULLET', 'FIBER', 'CF DEFECT', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION']","['CF', 'TFT']"
FIBER@OP@CF@Cell_B5B27LC-2-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'UP', 'INT', 'NP']","['FIBER', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'PV-HOLE-T']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_B5868YA-1-5.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'INT', 'UP', 'OP']","['AS-RESIDUE-E', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'LIGHT METAL', 'ESD']","['TFT', 'CF']"
