ImagePath,Layer_1_True,Layer_1_ans,Layer_2_True,Layer_2_ans,Layer_3_True,Layer_3_ans,sub_class,subtwo_class,super_class
CF REPAIR FAIL@NP@CF@CF_20220816_B76V2XE-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'INT', 'UP', 'OP']","['CF REPAIR FAIL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'PV-HOLE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
LIGHT METAL@UP@CF@Cell_20220530_B52Y62N-1-1.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'INT', 'OP']","['LIGHT METAL', 'POLYMER', 'PV-HOLE-T', 'AS-RESIDUE-E', 'M1-ABNORMAL']","['CF', 'TFT']"
CF REPAIR FAIL@NP@CF@CF_20220524_B4RV8SC-1-1.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'UP', 'OP', 'INT']","['CF REPAIR FAIL', 'POLYMER', 'CF PS DEFORMATION', 'ITO-RESIDUE-T', 'M1-ABNORMAL']","['CF', 'TFT']"
CF REPAIR FAIL@NP@CF@CF_20220520_B52R6ES-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'ITO-RESIDUE-T', 'POLYMER', 'FIBER', 'ESD']","['CF', 'TFT']"
CF REPAIR FAIL@NP@CF@CF_20220615_9H2B2BD5X0AD-1-1.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'INT', 'UP', 'OP']","['CF REPAIR FAIL', 'ESD', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_20220706_B4VE9CR-1-1.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'UP', 'INT', 'OP']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'ITO-RESIDUE-T', 'AS-RESIDUE-E']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_20220619_B5564PE-1-2.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'INT', 'UP']","['CF PS DEFORMATION', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'LIGHT METAL', 'ESD']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_20220915_B84D9MC-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'UP', 'OP', 'INT']","['CF PS DEFORMATION', 'PV-HOLE-T', 'FIBER', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_20221001_B91W5YC-1-4.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'UP', 'INT', 'NP']","['POLYMER', 'FIBER', 'ESD', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_20220516_B4UU3RT-1-2.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'FIBER', 'CF REPAIR FAIL', 'GLASS CULLET', 'CF PS DEFORMATION']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@TFT@Cell_20220524_B5370LE-1-1.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'CF DEFECT', 'CF PS DEFORMATION', 'AS-RESIDUE-E', 'GLASS CULLET']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220502_B4UZ03C-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'NP', 'INT', 'UP']","['POLYMER', 'CF DEFECT', 'M1-ABNORMAL', 'FIBER', 'PV-HOLE-T']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_20220822_B61D4YT-1-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'OP', 'NP']","['GLASS BROKEN', 'GLASS CULLET', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'FIBER']","['TFT', 'CF']"
FIBER@OP@CF@Cell_20220618_B4TX5CA-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'UP', 'NP']","['FIBER', 'ESD', 'GLASS BROKEN', 'LIGHT METAL', 'CF PS DEFORMATION']","['CF', 'TFT']"
ITO-RESIDUE-T@NP@TFT@Array_20220614_B32J4NV-1-1.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'OP', 'INT', 'UP']","['ITO-RESIDUE-T', 'AS-RESIDUE-E', 'POLYMER', 'CF PS DEFORMATION', 'CF DEFECT']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220805_842B56F2N0BE-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'CF DEFECT', 'FIBER', 'M1-ABNORMAL', 'AS-RESIDUE-E']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@TFT@Cell_20220822_B62953L-1-3.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'ESD', 'POLYMER', 'PV-HOLE-T', 'GLASS BROKEN']","['TFT', 'CF']"
CF PS DEFORMATION@NP@CF@CF_20220901_5L2B77E5A0RD-1-4.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'UP', 'INT']","['CF PS DEFORMATION', 'POLYMER', 'FIBER', 'PV-HOLE-T', 'M1-ABNORMAL']","['CF', 'TFT']"
ESD@INT@TFT@Cell_20220925_B91S81B-1-1.jpg,TFT,TFT,INT,INT,ESD,ESD,"['INT', 'UP', 'OP', 'NP']","['ESD', 'GLASS BROKEN', 'CF DEFECT', 'CF PS DEFORMATION', 'AS-RESIDUE-E']","['TFT', 'CF']"
AS-RESIDUE-E@NP@TFT@Array_20220522_B4Y143D-1-1.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,ITO-RESIDUE-T,"['NP', 'INT', 'OP', 'UP']","['ITO-RESIDUE-T', 'PV-HOLE-T', 'AS-RESIDUE-E', 'M1-ABNORMAL', 'CF DEFECT']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_20220630_B4XZ6TA-1-2.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'OP', 'UP']","['GLASS BROKEN', 'GLASS CULLET', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'ESD']","['TFT', 'CF']"
GLASS CULLET@OP@CF@Cell_20220718_B56T636-1-3.jpg,CF,CF,OP,OP,GLASS CULLET,GLASS CULLET,"['OP', 'UP', 'INT', 'NP']","['GLASS CULLET', 'POLYMER', 'PI SPOT-WITH PAR', 'ESD', 'AS-RESIDUE-E']","['CF', 'TFT']"
FIBER@UP@TFT@Cell_20221018_H9FH3KB-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'M1-ABNORMAL', 'POLYMER', 'CF DEFECT', 'CF PS DEFORMATION']","['TFT', 'CF']"
POLYMER@OP@TFT@Cell_20220507_B3D56MD-1-2.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'ITO-RESIDUE-T', 'LIGHT METAL', 'ESD', 'FIBER']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220809_842B56F2N0BE-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'CF DEFECT', 'M1-ABNORMAL', 'FIBER', 'AS-RESIDUE-E']","['CF', 'TFT']"
M1-ABNORMAL@NP@TFT@Array_20220706_7L2B54K0Z0GF-1-1.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'UP', 'INT', 'OP']","['M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'CF REPAIR FAIL', 'POLYMER']","['TFT', 'CF']"
POLYMER@OP@TFT@Cell_20220914_B8552MX-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'FIBER', 'CF PS DEFORMATION', 'ESD', 'AS-RESIDUE-E']","['TFT', 'CF']"
FIBER@OP@CF@Cell_20221020_H8EU9LF-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'NP', 'UP']","['FIBER', 'CF DEFECT', 'PV-HOLE-T', 'ESD', 'LIGHT METAL']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_20220924_B84B1TJ-1-2.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'OP', 'UP', 'INT']","['AS-RESIDUE-E', 'POLYMER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220928_CG1B4JJ9G0MC-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'M1-ABNORMAL', 'CF PS DEFORMATION', 'FIBER', 'AS-RESIDUE-E']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_20220505_B4VN5RR-2-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'OP', 'NP', 'UP']","['GLASS BROKEN', 'GLASS CULLET', 'ESD', 'CF PS DEFORMATION', 'CF REPAIR FAIL']","['TFT', 'CF']"
